text,label,processed
@matthewcrosby Hope it goes well! :-),1,||T|| Hope it goes well! ||P||
@davey_steven good morning Steve ...have a gooday! #ff :),1,||T|| good morning Steve ...have a gooday! #ff ||P||
@Smiling_Girly_  U r my dii n i cant forget my Sis :),1,||T|| U r my dii n i cant forget my Sis ||P||
And now that love island has finished I feel like summer has gone :(,0,And now that love island has finished I feel like summer has gone ||N||
"Missed out on tickets for @BelleSGlasgow's @RoyalAlbertHall shows this morning? :(
Get your #Tigermilk fix at http://t.co/QGGHsnicxv",0,Missed out on tickets for ||T||'s ||T|| shows this morning? ||N|| Get your #Tigermilk fix at ||U||
when ur moms getting u swishers and ur copping Monday :) http://t.co/qEdmlJLRNt,1,when ur moms getting u swishers and ur copping Monday ||P|| ||U||
playing Dota 2 :D,1,playing Dota 2 ||ExP||
@strawberrybon i miss you :(,0,||T|| i miss you ||N||
@composurs listen :-) buddy :-) u wanna play it like this :-),1,||T|| listen ||P|| buddy ||P|| u wanna play it like this ||P||
@Ohioleh noo. he's a random person in my class :(,0,||T|| noo. he's a random person in my class ||N||
Why have a no been paid ?? :((((,0,Why have a NOT been paid ?? ||N|| (((
@LoseThe_Battle We cannot view the picture. Are you unhappy with the seats on our bus? :(,0,||T|| We NOT view the picture. Are you unhappy with the seats on our bus? ||N||
"When #forklift and #warehouse workers get that #FridayFeeling :-) 

http://t.co/iz4sgPsdcW http://t.co/CXP98cEdnl",1,When #forklift and #warehouse workers get that #FridayFeeling ||P|| ||U|| ||U||
"@amcyoung @peasbloss 
Ah, S'okay Andy!
Thank you-and yours! :)",1,"||T|| ||T|| Ah, S'okay Andy! Thank you-and yours! ||P||"
@520f6ed5dd4c4d3  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),1,||T|| follow ||T|| &amp; ||U|| follow u back ||P||
@FizzaMalick yes sirkay wali pyaaz with daal. or you made daal and just got onions in vinegar :(,0,||T|| yes sirkay wali pyaaz with daal. or you made daal and just got onions in vinegar ||N||
@PerezHilton That is hardly a respond :-(,0,||T|| That is hardly a respond ||N||
"@dw_pete @nlitchfield @MillinerySue He's twitching, he's got to be twitching :-)",1,"||T|| ||T|| ||T|| He's twitching, he's got to be twitching ||P||"
@taesprout :-( i hope it works out..... or not if it is better that way,0,||T|| ||N|| i hope it works out... or NOT if it is better that way
@Jeandysanglay  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),1,||T|| follow ||T|| &amp; ||U|| follow u back ||P||
Yeh Real Madrid walay bhi bohat wailay hain. Pre-season friendly pe itna shor machaya hua hai mein samjha cup final hai :(,0,Yeh Real Madrid walay bhi bohat wailay hain. Pre-season friendly pe itna shor machaya hua hai mein samjha cup final hai ||N||
I guess sleep was just not in my list of things to do today :-),1,I guess sleep was just NOT in my list of things to do today ||P||
"@Charlie_Bread fair enough :( why would anyone do that? Just seems a tad fucked up 😔 .. It's a wiper, a wiper!",0,"||T|| fair enough ||N|| why would anyone do that? Just seems a tad fucked up 😔 .. It's a wiper, a wiper!"
"That also means, imma go back to being more twitter active :D
Cause I know everyone missed me ;) xD",1,"That also means, imma go back to being more twitter active ||ExP|| Cause I know everyone missed me ;) xD"
"Fine, 
...Have a gorgeous Friday, friend!!..; xo..-:)) https://t.co/JmpkZP2DaI",1,"Fine, ...Have a gorgeous Friday, friend!!..; xo..- ||P|| ) ||U||"
@iMartyn Happy birthday! Didn't know wolves had birthdays :),1,||T|| Happy birthday! NOT know wolves had birthdays ||P||
Met crush but he is too lansi in way :((,0,Met crush but he is too lansi in way ||N|| (
@Cheryl2c96 @Sharonmuskebear @teddy_trucker Burketeer suspects and then our names and Twitter IDs :),1,||T|| ||T|| ||T|| Burketeer suspects and then our names and Twitter IDs ||P||
my heart is hurt ... :( :(,0,my heart is hurt ... ||N|| ||N||
Mm what a lovely day... :(,0,Mm what a lovely day... ||N||
Leaving for the airport soon :( don't wanna go home.,0,Leaving for the airport soon ||N|| don't wanna go home.
Talk to me :-),1,Talk to me ||P||
@AndyCCochrane I hope you're enjoying your ride Andy. :) ^NB,1,||T|| I hope you're enjoying your ride Andy. ||P|| ^NB
"@cyjaexlne good, 'cause I'd like to upload it myself. :)",1,"||T|| good, 'cause I'd like to upload it myself. ||P||"
@MoominCapote Yayy! Good work - can't wait to have you on campus! :),1,||T|| Yayy! Good work - NOT wait to have you on campus! ||P||
@BellissimaEx @MarriedtoaGeek1 @b_ecki @ablokeseyeview Thank you :),1,||T|| ||T|| ||T|| ||T|| Thank you ||P||
I'm too tan :-(((,0,I'm too tan ||N|| ((
"@kimcanhomes Really very stylish &amp; trendy! Good going Kim, Keep it up :)",1,"||T|| Really very stylish &amp; trendy! Good going Kim, Keep it up ||P||"
"Hello @davidpring91, we hope to see you in @SkyFallHove soon. Have a great day. :) https://t.co/px6oSSKCTL",1,"Hello ||T||, we hope to see you in ||T|| soon. Have a great day. ||P|| ||U||"
Breads are out of the oven :-) we see you around 10.30 at @One_New_Change :-) http://t.co/atppptBxO5,1,Breads are out of the oven ||P|| we see you around 10.30 at ||T|| ||P|| ||U||
Finally ! I hate it that Switzerland doesn't have a KFC ! :( http://t.co/U1ZU4OOuxV,0,Finally ! I hate it that Switzerland NOT have a KFC ! ||N|| ||U||
"wtf,i make new giveaway acc again...and now can't to tweet anything again!! :(",0,"wtf,i make new giveaway acc again...and now NOT to tweet anything again!! ||N||"
"A great end to the work week! Sunshine, low humidity. 87. Changes over the weekend. Details on @6abc this AM. :)",1,"A great end to the work week! Sunshine, low humidity. 87. Changes over the weekend. Details on ||T|| this AM. ||P||"
"@TeamLaws01 yes of course, pop an email to reservations@sandsbeach.eu with your dates and we'll get right back to you :)",1,"||T|| yes of course, pop an email to reservations||T||.eu with your dates and we'll get right back to you ||P||"
@dreesti doesn't matter have to pay bill always.. #foreveralone :D :D,1,||T|| NOT matter have to pay bill always.. #foreveralone ||ExP|| ||ExP||
Add me on Snapchat : NicoleaPage #snapchat #kiksex #kikmeboys #makeup #kikmeboys #free #camsex :( http://t.co/iVcyNmm8vP,0,Add me on Snapchat : NicoleaPage #snapchat #kiksex #kikmeboys #makeup #kikmeboys #free #camsex ||N|| ||U||
"@SOLODMHelperrs i dont trade trade harry, sorry, i only have one :(",0,"||T|| i dont trade trade harry, sorry, i only have one ||N||"
Come fly with me baby! :) http://t.co/JjmrvobLZl #retweet #marine #navy #Airforce #battlefield,1,Come fly with me baby! ||P|| ||U|| #retweet #marine #navy #Airforce #battlefield
@NatILY02 K I'll text you tomorrow :-),1,||T|| K I'll text you tomorrow ||P||
harlo i miss my boyfriend so much :-(((,0,harlo i miss my boyfriend so much ||N|| ((
"@peterlizmaher Hi! Saw who u follow and thought u might like ""Dark"" https://t.co/aloXWsqdjh .Plz let us know what u think :)",1,"||T|| Hi! Saw who u follow and thought u might like ""Dark"" ||U|| .Plz let us know what u think ||P||"
Tomorrow at the #GoldCoast :) http://t.co/yRat44jWAy,1,Tomorrow at the #GoldCoast ||P|| ||U||
@ihyrina i feel you girl. :(((,0,||T|| i feel you girl. ||N|| ((
"@MistressSaphire Good morning to you, gorgeous Mistress Saphire :)",1,"||T|| Good morning to you, gorgeous Mistress Saphire ||P||"
"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x41",1,Hi BAM ! ||T|| Can you follow my bestfriend ||T|| ? She loves you a lot ||P|| See you in Warsaw &lt;3 Love you &lt;3 x41
Bruce just won't smile :( http://t.co/UwldCQkcoq,0,Bruce just NOT smile ||N|| ||U||
@EvokingMaster *dies whilst hugging an Aki* yaaay! :D,1,||T|| *dies whilst hugging an Aki* yaaay! ||ExP||
@swiftlywatson ahh I hope you can!! :(,0,||T|| ahh I hope you can!! ||N||
@ikoimoy you should have watched with us :(,0,||T|| you should have watched with us ||N||
@Sazzi91 we are following you now :) x,1,||T|| we are following you now ||P|| x
"Final ep of GoT, here we go. :(",0,"Final ep of GoT, here we go. ||N||"
lol forgot about mubank today :(,0,lol forgot about mubank today ||N||
I see Flickr Pro is back :-),1,I see Flickr Pro is back ||P||
@ParentingWT It's great that we have that as a very viable alternative nowadays. :),1,||T|| It's great that we have that as a very viable alternative nowadays. ||P||
I just woke up and I feel incredibly sick idk if it's cause I drank Starbucks at 11 o'clock last night or if it's a reaction to my meds :),1,I just woke up and I feel incredibly sick idk if it's cause I drank Starbucks at 11 o'clock last night or if it's a reaction to my meds ||P||
I want to dance rn :(,0,I want to dance rn ||N||
@LampShopOnline  You too Lamp Shop :)),1,||T|| You too Lamp Shop ||P|| )
@iviecrystal nawwwe hang in there love :( yes yes chikka ug kita rata soonest! :* mwamwa,0,||T|| nawwwe hang in there love ||N|| yes yes chikka ug kita rata soonest! :* mwamwa
@ikebukuroh deantd :-( #justgotkanekified,0,||T|| deantd ||N|| #justgotkanekified
so cute :( https://t.co/VWLsPT6y1R,0,so cute ||N|| ||U||
missed having someone come over when i was ill :(,0,missed having someone come over when i was ill ||N||
@bbygjrlmgc oh :( i hate when that happens i get so sad over it too,0,||T|| oh ||N|| i hate when that happens i get so sad over it too
@Uber_Delhi been trying for the past two hours. Nothing :( http://t.co/oLrKJpHDPb,0,||T|| been trying for the past two hours. Nothing ||N|| ||U||
https://t.co/gBIMDzQBY5 Must watch :D #BajrangiBhaijaanHighestWeek1,1,||U|| Must watch ||ExP|| #BajrangiBhaijaanHighestWeek1
@FercanY @BenjaminHarvey Rip Heath Ledger :(,0,||T|| ||T|| Rip Heath Ledger ||N||
@NOUISMILITARY same we haven't talked for months :),1,||T|| same we haven't talked for months ||P||
"|| Sameee~ 

Rest well :) https://t.co/T6ZCo4NxDG",1,|| Sameee~ Rest well ||P|| ||U||
@Wolfaro yay more bunnys. :),1,||T|| yay more bunnys. ||P||
"you ever watch certain people's snapchat over and over again, bc i know i do :-)))",1,"you ever watch certain people's snapchat over and over again, bc i know i do ||P|| ))"
@heydonworks Nice tee man :),1,||T|| Nice tee man ||P||
3 ghantay say light nai hay :(,0,3 ghantay say light nai hay ||N||
"I got sleep medicine, but imma be out till 7 pm tomorrow if i take it now :(((",0,"I got sleep medicine, but imma be out till 7 pm tomorrow if i take it now ||N|| (("
@ameliahartin AND WHY DID YOU IGNORE ME YESTER AFTERNOON :(,0,||T|| AND WHY DID YOU IGNORE ME YESTER AFTERNOON ||N||
PICK ME PLEASE EMPLOYERS! :) http://t.co/LS2arHmmUY,1,PICK ME PLEASE EMPLOYERS! ||P|| ||U||
@da_kar yep I'd been doing it without Ning it then was recommended a book and thought wow! This is it :) I think general positivity leads to,1,||T|| yep I'd been doing it without Ning it then was recommended a book and thought wow! This is it ||P|| I think general positivity leads to
@FranchiSeedsUK good to hear :),1,||T|| good to hear ||P||
This actually made me cry this is so disgusting whAT THE ACTUAL FUCK im disgusted by what I've seen poor people :( https://t.co/z0iLcKLO6s,0,This actually made me cry this is so disgusting whAT THE ACTUAL FUCK im disgusted by what I've seen poor people ||N|| ||U||
@flipkartsupport my order has been received at the hub nearest but doesn't look like it will be delivered today :( (1/2),0,||T|| my order has been received at the hub nearest but NOT look like it will be delivered today ||N|| (1/2)
@blingmot go sleep don't stay up for the entire thing u can do more tmw!uwu...well the younger jinki and older taems one :((( all those gifs,0,||T|| go sleep don't stay up for the entire thing u can do more tmw!uwu...well the younger jinki and older taems one ||N|| (( all those gifs
@AstFtMarv @AstonMerrygold see you soon :) the things we do for him 😂,1,||T|| ||T|| see you soon ||P|| the things we do for him 😂
"@Marke61 :) It's something to do with the French air and lack of TV, for the first 6 months...:)!!",1,"||T|| ||P|| It's something to do with the French air and lack of TV, for the first 6 months... ||P|| !!"
"Whenever I hear ""Tama!"" I can't help but repeat it in my head with the pabebe warrior saying it :(",0,"Whenever I hear ""Tama!"" I NOT help but repeat it in my head with the pabebe warrior saying it ||N||"
"@AndyHerren I know how dumb, did she think of that on her own. But Johnny does rock have u seen his utube video's?  Mad Respect! :D",1,"||T|| I know how dumb, did she think of that on her own. But Johnny does rock have u seen his utube video's? Mad Respect! ||ExP||"
@beelovley19 wow hate u :( imy,0,||T|| wow hate u ||N|| imy
"@megsyfoxie WTF LIKE YOUR LIPS STILL A VIRGIN OMG MOM GET A LIFE YOURE 45 

Hahah : (",0,||T|| WTF LIKE YOUR LIPS STILL A VIRGIN OMG MOM GET A LIFE YOURE 45 Hahah : (
@HUNCH0 my stomach hurts so bad :(,0,||T|| my stomach hurts so bad ||N||
"@CNET Thats why they been pushing emoji, I give Sony five  :-(  :-(  :-(  :-( :-(  :-(",0,"||T|| Thats why they been pushing emoji, I give Sony five ||N|| ||N|| ||N|| ||N|| ||N|| ||N||"
Thanks for the follow and back at ya :) @DANCEFORCE3,1,Thanks for the follow and back at ya ||P|| ||T||
New bio. Bodo amat :-(,0,New bio. Bodo amat ||N||
@jenxmish @wittykrushnic you are the only thing that i need :(,0,||T|| ||T|| you are the only thing that i need ||N||
"Really missing my family, friends, bae and Poopie :(((",0,"Really missing my family, friends, bae and Poopie ||N|| (("
@glennlondey @CarltonFC looking that way :(,0,||T|| ||T|| looking that way ||N||
@WeeklyChris what happened love? :(,0,||T|| what happened love? ||N||
Appreciate your recent Retweets ! @SebPoGo @JessicaDelpech @AlexandraJaafar  @JeanDams @raphaelcolas @bylkana Have a great Friday :),1,Appreciate your recent Retweets ! ||T|| ||T|| ||T|| ||T|| ||T|| ||T|| Have a great Friday ||P||
okay she doesnt want to talk to me then I will stop :(,0,okay she doesnt want to talk to me then I will stop ||N||
Starts raining just as soon as I'm ready for a run :( damn it,0,Starts raining just as soon as I'm ready for a run ||N|| damn it
"i hope you feel better, jay. :(",0,"i hope you feel better, jay. ||N||"
"@PatriciaPrecios @WilliamEdenDude @PiooooPiolo @MagandiaAdjrani @ipcasongsong @Rapamigz @akosizen tomorrow again, please? :-(",0,"||T|| ||T|| ||T|| ||T|| ||T|| ||T|| ||T|| tomorrow again, please? ||N||"
@wacom helppp :(. I'm in the U.S and want to order a refurbished cintiq companion online but my card originates from outside the U.S,0,||T|| helppp ||N|| . I'm in the U.S and want to order a refurbished cintiq companion online but my card originates from outside the U.S
@Celestalon @healiocentric We need good Taco places in Europe :(,0,||T|| ||T|| We need good Taco places in Europe ||N||
No1 online :(,0,No1 online ||N||
I'm in my winter boots :(,0,I'm in my winter boots ||N||
@5SOS_FAHUpdates @x123456789tine haha i got it dont worry! :D,1,||T|| ||T|| haha i got it dont worry! ||ExP||
Hate seeing my granddad like this :(,0,Hate seeing my granddad like this ||N||
@RockMyWedding @SouthFarm1 @JohnHopePhoto @MirrorBridal @Dune_London @Coast_Stores @EtsyUK @Etsy @blankcanvasent Love it! Great collage :),1,||T|| ||T|| ||T|| ||T|| ||T|| ||T|| ||T|| ||T|| ||T|| Love it! Great collage ||P||
Last 2 exams :),1,Last 2 exams ||P||
Can't believe I was too ill to go to work today. Wish I was there :(,0,NOT believe I was too ill to go to work today. Wish I was there ||N||
@JayMcGuiness @JayMcGuiness :-( please notice men,0,||T|| ||T|| ||N|| please notice men
"YES! A very big yes, finally got home from this severe rain thanks @sgtnicolai1 :)",1,"YES! A very big yes, finally got home from this severe rain thanks ||T|| ||P||"
@lucymatthewsss same deal here. the man at the airport laughed at me when he asked me age and asked 'reaally?' :(,0,||T|| same deal here. the man at the airport laughed at me when he asked me age and asked 'reaally?' ||N||
@bekazt :-) i read about today and I'm so excited !!,1,||T|| ||P|| i read about today and I'm so excited !!
@JediEconomist I thought you’d like that mate :),1,||T|| I thought you’d like that mate ||P||
@UKBusinessLunch Hi we will be joining you again today :),1,||T|| Hi we will be joining you again today ||P||
"@Emo_Penguin4 :((((((
*sad puppy eyes",0,||T|| ||N|| ((( *sad puppy eyes
I wish I could drive. I'm good at it. Stupid vertigo and panic attacks makes dual carriageway driving impossible tho :(,0,I wish I could drive. I'm good at it. Stupid vertigo and panic attacks makes dual carriageway driving impossible tho ||N||
@taeserasera OMG! What happened? :(,0,||T|| OMG! What happened? ||N||
@CaptaainMorgan okay :)))),1,||T|| okay ||P|| )))
"@Espio1 @scully1888 It's madness, for sure. Three amiibo for the price of four on Nintendo store. It's just my backup… :(",0,"||T|| ||T|| It's madness, for sure. Three amiibo for the price of four on Nintendo store. It's just my backup… ||N||"
Great new opportunity for junior triathletes aged 12 and 13 at the Gatorade series! Get your entries in :) http://t.co/of3DyOzML0,1,Great new opportunity for junior triathletes aged 12 and 13 at the Gatorade series! Get your entries in ||P|| ||U||
"Good thing I got those free earrings, as I've somehow lost one of the tiny screw on ball things from one of my barbells :(",0,"Good thing I got those free earrings, as I've somehow lost one of the tiny screw on ball things from one of my barbells ||N||"
"@grillo_23 @sleepyjoe2 @Karnage90 @RichardDawkins Dear person, please study before embarrassing urself. Entropy works 100% w/ evolution :)",1,"||T|| ||T|| ||T|| ||T|| Dear person, please study before embarrassing urself. Entropy works 100% w/ evolution ||P||"
"@Stijneman happy tripping, Farbridges! :-)",1,"||T|| happy tripping, Farbridges! ||P||"
I'd planned to do a nice scamper but I slept through my alarm. For two hours. I suppose I needed the sleep so I ain't mad :),1,I'd planned to do a nice scamper but I slept through my alarm. For two hours. I suppose I needed the sleep so I ain't mad ||P||
@curlsharryxoxo i don't know :(( just be happy for him :(,0,||T|| i don't know ||N|| ( just be happy for him ||N||
"PHANTASY STAR ONLINE 2 IP Issue
i was so happy i could finally play the game then this... so sad :(
http://t.co/du7Z6cjYVm @Asiasoft_Live",0,PHANTASY STAR ONLINE 2 IP Issue i was so happy i could finally play the game then this... so sad ||N|| ||U|| ||T||
@justinbieber follback me pls :(,0,||T|| follback me pls ||N||
Bad throat and now a cold too :(,0,Bad throat and now a cold too ||N||
Single Man :) :* http://t.co/XH4o3z1mwt,1,Single Man ||P|| :* ||U||
Eugh :( not good weather at all! https://t.co/3NaRSAzIL1,0,Eugh ||N|| NOT good weather at all! ||U||
Ltsw here we gooooooo! :-),1,Ltsw here we gooo! ||P||
"Hello :D
@VikkFollows @Vikkstar123",1,Hello ||ExP|| ||T|| ||T||
@The_Witty_SRK @DeewaniVeronica Counted it too :p 28* Bnte hain ;p,1,||T|| ||T|| Counted it too :p 28* Bnte hain ;p
"Quit it :)""@_uNeo: You selling it too @Dented_Deni @_uNeo You too young to understand muntu""",1,"Quit it ||P|| ""||T||: You selling it too ||T|| ||T|| You too young to understand muntu"""
@mblaq_seungh0 THEN WHY MENTION MEE OMG /envious/ please oppa eonni stop lovey dovey in front of your poor single dongsaeng :(,0,||T|| THEN WHY MENTION MEE OMG /envious/ please oppa eonni stop lovey dovey in front of your poor single dongsaeng ||N||
i miss someone :(,0,i miss someone ||N||
I feel like I haven't been keeping up with my friends lately like I should be smh. Ganna text them to see if they're all doing good :-),1,I feel like I haven't been keeping up with my friends lately like I should be smh. Ganna text them to see if they're all doing good ||P||
@bumkeyyfel clowns? i'm not scared of clowns tho i think they're stupid bcs they dont know how to put lipstick on : (,0,||T|| clowns? i'm NOT scared of clowns tho i think they're stupid bcs they dont know how to put lipstick on : (
@serxndipityrp done :),1,||T|| done ||P||
"@Clayakn Woah, big plan. Good luck with that :)",1,"||T|| Woah, big plan. Good luck with that ||P||"
matchy matchy d elsa hair :-(( love u soo much! http://t.co/gySQ6arggu,0,matchy matchy d elsa hair ||N|| ( love u soo much! ||U||
@BenJPierce THAT'S NOT FAIR!! I WANNA MEET YOU SOOOO BAD!! &lt;3 &lt;3 :(,0,||T|| THAT'S NOT FAIR!! I WANNA MEET YOU SOOO BAD!! &lt;3 &lt;3 ||N||
So proud!! :D :D Night Social App by Katerina Maniataki - Design Ideas http://t.co/WIsq6iBxv8 via @designideaspics,1,So proud!! ||ExP|| ||ExP|| Night Social App by Katerina Maniataki - Design Ideas ||U|| via ||T||
Off to meet the Skills part of the business today to see how we can create some amazing pathways for young people beyond @NCSIngeus  :),1,Off to meet the Skills part of the business today to see how we can create some amazing pathways for young people beyond ||T|| ||P||
@espresso_based is that you? what happened? :(,0,||T|| is that you? what happened? ||N||
cant believe I missed your follow spree today :( @AaronCarpenter,0,cant believe I missed your follow spree today ||N|| ||T||
@carterreynolds hello!! :) love you Carter :),1,||T|| hello!! ||P|| love you Carter ||P||
@AmberMarineArt Thanks for the favorite! :) Make sure to keep in touch for more news of our light bulbs made from corn waste.,1,||T|| Thanks for the favorite! ||P|| Make sure to keep in touch for more news of our light bulbs made from corn waste.
Google has made @narendramodi really very sad about @ImranKhanPTI not becoming Prime Minister. :p @PTIofficial @pmln_org,1,Google has made ||T|| really very sad about ||T|| NOT becoming Prime Minister. :p ||T|| ||T||
"Hi everyone..
Good afteNoon 
 feeling Booooore  :( :(",0,Hi everyone.. Good afteNoon feeling Booore ||N|| ||N||
@bbgurrll i miss you too :(,0,||T|| i miss you too ||N||
Thank you @Essex_Wiganer :),1,Thank you ||T|| ||P||
@_stroya nou youre not :-( here have a picture of Adam http://t.co/WEvVpVoAmx,0,||T|| nou youre NOT ||N|| here have a picture of Adam ||U||
@Samcityyy how sad :-(,0,||T|| how sad ||N||
"@bravefrontiergl could you pls take care of the servers befor you send that? We have no value in it, as long as we can't get in :(",0,"||T|| could you pls take care of the servers befor you send that? We have NOT value in it, as long as we NOT get in ||N||"
"@BrentpCarey @Uber @GelatoMessina Yay I got free ice cream today from Uber as well, Incredible! loved it haha :)",1,"||T|| ||T|| ||T|| Yay I got free ice cream today from Uber as well, Incredible! loved it haha ||P||"
i have no friends whatsoever lol :(( oh well,0,i have NOT friends whatsoever lol ||N|| ( oh well
Twitter is turning so much complicated. Can't find the trends now. :(,0,Twitter is turning so much complicated. NOT find the trends now. ||N||
Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/4qZ74PcLA5.,1,Stats for the day have arrived. 1 new follower and NOT unfollowers ||P|| via ||U||
I really am a code monkey :( http://t.co/5vFYrLeeux,0,I really am a code monkey ||N|| ||U||
...because it's Friday :D (y) http://t.co/MD55NIzEnQ,1,...because it's Friday ||ExP|| (y) ||U||
@cinghh @imvnaj @BahetiRidham party cancel :p #BajrangiBhaijaanHighestWeek1,1,||T|| ||T|| ||T|| party cancel :p #BajrangiBhaijaanHighestWeek1
@c_tuilagi Anytime Lil Nigga!! (: (:,0,||T|| Anytime Lil Nigga!! (: (:
"@mariaebun its not me :( its the person in me, sorry xxx",0,"||T|| its NOT me ||N|| its the person in me, sorry xxx"
Today Is a horrible day :( so dark and dinghy :'( http://t.co/oKR3mwS4jm,0,Today Is a horrible day ||N|| so dark and dinghy :'( ||U||
@crushinghes the summer holidays are great but I'm so bored already :(,0,||T|| the summer holidays are great but I'm so bored already ||N||
"@mbukmagazine Pet Mouse has to be the winner, thanks :)",1,"||T|| Pet Mouse has to be the winner, thanks ||P||"
"She lost us, her friends... :( she's the one who started the argument.",0,"She lost us, her friends... ||N|| she's the one who started the argument."
Finally home. Been driving since 5am :(,0,Finally home. Been driving since 5am ||N||
Check out my #blog!! http://t.co/yJxIrWiMZ1. Let me know what you want to see :) #lbloggers #pbloggers #recipes #bookreview #toddlerlife,1,Check out my #blog!! ||U|| Let me know what you want to see ||P|| #lbloggers #pbloggers #recipes #bookreview #toddlerlife
"@IamComet67P Thank you, sweetest &amp; kindest Comet! :-)",1,"||T|| Thank you, sweetest &amp; kindest Comet! ||P||"
@BeingJahirShah nnnoooo!!! Cz he's not a daddy gorilla anymore... :(,0,||T|| nnnooo!!! Cz he's NOT a daddy gorilla anymore... ||N||
"* ✫ ✧ ˚ @Louis_Tomlinson ✧ · ✵ ⊹
Thank you for always putting
a smile on my face
Mind following me? :)
Have a nice day x
1710",1,* ✫ ✧ ˚ ||T|| ✧ · ✵ ⊹ Thank you for always putting a smile on my face Mind following me? ||P|| Have a nice day x 1710
goodnight I love everyone but hate myself because in stupid :),1,goodnight I love everyone but hate myself because in stupid ||P||
@_stevievie I'll be in Hawaii in December! We'll have a kick back again. Miss you too :),1,||T|| I'll be in Hawaii in December! We'll have a kick back again. Miss you too ||P||
@Pyarey_Afzal aww thankyou :),1,||T|| aww thankyou ||P||
I need something to do on Tuesday.  I've got the whole day off :D,1,I need something to do on Tuesday. I've got the whole day off ||ExP||
"Delph??! 20 minutes, off on his debut :(",0,"Delph??! 20 minutes, off on his debut ||N||"
Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/a8T615ezFa.,1,Stats for the day have arrived. 1 new follower and NOT unfollowers ||P|| via ||U||
@jaseygalore I know the home-based office busy feeling :-) Pity about your knee - what happened?,1,||T|| I know the home-based office busy feeling ||P|| Pity about your knee - what happened?
@write2kill Ha ha :-) I guess I was being polite.,1,||T|| Ha ha ||P|| I guess I was being polite.
@ScreamQueenLR That's fair enough :) I wouldn't rush back either.,1,||T|| That's fair enough ||P|| I wouldn't rush back either.
@pastelwolfxx @CHA_NNNNN niNASTY tsktsk oppa wont like u call his dick kawaii he is manly &gt;:( http://t.co/83cUgt7qQ3,0,||T|| ||T|| niNASTY tsktsk oppa wont like u call his dick kawaii he is manly &gt; ||N|| ||U||
"I blogged, here it is :) Any excuse will not do!  Problem attenders http://t.co/qat0oRRfvY via @Michelle_mvhr",1,"I blogged, here it is ||P|| Any excuse will NOT do! Problem attenders ||U|| via ||T||"
Lovely chat about cycling in Oxford with a @sustrans campaigner on way home yesterday - more cycle routes please! :) #cycling #Oxford,1,Lovely chat about cycling in Oxford with a ||T|| campaigner on way home yesterday - more cycle routes please! ||P|| #cycling #Oxford
@NikkiFederer goodnight Nikki have a good one :) x,1,||T|| goodnight Nikki have a good one ||P|| x
"@ealilovic Don't get your hope up, you must travel a million years to get there in the first place :) #fls #sorry",1,"||T|| Don't get your hope up, you must travel a million years to get there in the first place ||P|| #fls #sorry"
@tonywhittaker Fabulous! Well we hope you all have a great day :-) ^KB,1,||T|| Fabulous! Well we hope you all have a great day ||P|| ^KB
i can't belieb it's raining :(,0,i NOT belieb it's raining ||N||
@jenxmish @wittykrushnic don't leave :(,0,||T|| ||T|| don't leave ||N||
@bekhyungh @cunyelo pinter :-),1,||T|| ||T|| pinter ||P||
I love Joy :(,0,I love Joy ||N||
why u so fab :((( @.therese hahahahaha creds @_sheenapadua http://t.co/qcwv8In7jM,0,why u so fab ||N|| (( @.therese hahahahaha creds ||T|| ||U||
@OfficialKeanu..Awesome! :),1,||T||..Awesome! ||P||
"@OhHeyItsAJ Shit.. I suggest na suck it up muna :( I know its hard, but being a nurse is more important right?",0,"||T|| Shit.. I suggest na suck it up muna ||N|| I know its hard, but being a nurse is more important right?"
@BacheloretteABC @kaitlynbristowe would love to see her w/Nick but if she picks no one I waisted TV time. &amp; they never work out anyway. :(,0,||T|| ||T|| would love to see her w/Nick but if she picks NOT one I waisted TV time. &amp; they NOT work out anyway. ||N||
Its my grans funeral today :( Its going to be hard,0,Its my grans funeral today ||N|| Its going to be hard
"@yildotweets @_uzumce 
and eat and drink and be not extravagant; 
surely He does not love the extravagant.
:))
w",1,||T|| ||T|| and eat and drink and be NOT extravagant; surely He does NOT love the extravagant. ||P|| ) w
seriously :(,0,seriously ||N||
I added a video to a @YouTube playlist http://t.co/HVVPhSYakA im back on twitch and today it going to be league :) - 1 / 3,1,I added a video to a ||T|| playlist ||U|| im back on twitch and today it going to be league ||P|| - 1 / 3
@BCTGA Will do! Thanks for your help :-),1,||T|| Will do! Thanks for your help ||P||
Stats for the day have arrived. 4 new followers and NO unfollowers :) via http://t.co/uimhgcmIDk.,1,Stats for the day have arrived. 4 new followers and NOT unfollowers ||P|| via ||U||
@atiraxia :(...feel better bby!,0,||T|| ||N|| ...feel better bby!
@abejz_no tud jst :D,1,||T|| tud jst ||ExP||
Woke up with another migraine. :( ... Need proper rest but at moment I can't.,0,Woke up with another migraine. ||N|| ... Need proper rest but at moment I can't.
